"","quality","p","size","chi2","description"
"1",31.64,0.76,12006,4305.37,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"2",19.78,0.57,38540,1996.32,"Premis.Desc=SINGLE FAMILY DWELLING"
"3",19.43,0.6,23125,1737.9,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
"4",18.36,0.75,4190,1385.18,"Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"5",16.83,0.75,3629,1160.15,"Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC), Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"6",16.65,0.77,3129,1132.56,"TIME.OCC=(20,24], Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"7",15.84,0.77,2875,1022.95,"Crm.Cd.Desc=INTIMATE PARTNER - AGGRAVATED ASSAULT"
"8",15.3,0.99,864,944.51,"Crm.Cd.Desc=RAPE, FORCIBLE"
"9",14.89,0.77,2544,902.88,"Crm.Cd.Desc=VIOLATION OF RESTRAINING ORDER"
"10",14.5,0.9,1123,848.69,"Crm.Cd.Desc=BATTERY WITH SEXUAL CONTACT"
"11",13.28,0.75,2222,716.41,"TIME.OCC=(16,20], Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"12",12.69,0.75,2044,653.85,"TIME.OCC=[0.0167,4.01], Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"13",12.53,0.76,1865,636.73,"TIME.OCC=(8.01,12], Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"14",12.44,0.78,1647,626.83,"Premis.Desc=STREET, Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"15",12.2,0.76,1732,603.33,"TIME.OCC=(12,16], Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"16",10.71,0.61,6413,477.63,"Premis.Desc=SINGLE FAMILY DWELLING, TIME.OCC=(20,24]"
"17",10.58,0.78,1211,452.65,"Premis.Desc=SINGLE FAMILY DWELLING, TIME.OCC=(20,24], Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"18",10.3,0.72,1662,429.52,"Crm.Cd.Desc=VIOLATION OF COURT ORDER"
"19",10.15,0.62,4519,424.28,"TIME.OCC=(20,24], Premis.Desc=MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
"20",10,0.75,1249,404.16,"Premis.Desc=SINGLE FAMILY DWELLING, Crm.Cd.Desc=VIOLATION OF RESTRAINING ORDER"
